,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
49,0.114,['Beyoncé'],0.662,259067.0,4.317783333333334,0.374,0.0,3m9641nehhPSAIEODgBqaW,3.59e-06,9.0,0.249,-11.19,1.0,Yes,42.0,2003-06-24,0.34,112.694,0.551,2003.0
50,0.215,['The White Stripes'],0.557,178360.0,2.972666666666667,0.196,0.0,3oRIeGa4aULXQpQpEVKqpw,0.00447,2.0,0.16699999999999998,-14.733,1.0,"In The Cold, Cold Night",41.0,2003-04-01,0.0336,110.743,0.134,2003.0
51,0.000162,['Godsmack'],0.457,214867.0,3.5811166666666665,0.958,0.0,2ZZq3rtDGHa6SAjIjF0a9Y,0.0,2.0,0.298,-3.516,1.0,Faceless,43.0,2003-04-08,0.0918,137.36700000000002,0.385,2003.0
52,0.551,['John Mayer'],0.5820000000000001,332827.0,5.547116666666667,0.395,0.0,2Jr39bnXx3WOUmdlI4S00f,0.000118,10.0,0.258,-8.279,1.0,Wheel,45.0,2003-09-09,0.0274,117.179,0.226,2003.0
53,0.0629,['Linkin Park'],0.74,164213.0,2.736883333333333,0.959,0.0,3R9NKZ4jmxNjOFihSF5s7f,0.0,9.0,0.0444,-3.692,1.0,Hit the Floor,50.0,2003-03-24,0.193,150.007,0.878,2003.0
54,0.8029999999999999,['Kanye West'],0.64,53640.0,0.894,0.279,1.0,4BhwlQ9mTwhFGXpQvP9JTV,0.0,10.0,0.375,-12.396,1.0,Lil Jimmy Skit,46.0,2004-02-10,0.484,82.475,0.741,2004.0
55,0.000172,['Breaking Benjamin'],0.581,192307.0,3.2051166666666666,0.785,0.0,1jgsjNXHLMElIt4A4siEt8,0.00348,6.0,0.0889,-4.873,1.0,Away,44.0,2004-01-01,0.0426,93.47,0.637,2004.0
56,0.531,['The Black Keys'],0.565,161880.0,2.698,0.629,0.0,0xjiVZARgDnyYQF3dOXeOp,0.000302,4.0,0.11,-4.226,0.0,Act Nice and Gentle,45.0,2004,0.026,74.843,0.725,2004.0
57,0.975,['John Williams'],0.225,98373.0,1.63955,0.0417,0.0,2G5hAbyjLoY1wSQFbOy5PN,0.396,4.0,0.0718,-30.105,0.0,Lumos! (Hedwig's Theme),50.0,2004-05-25,0.0435,133.89,0.0889,2004.0
58,0.933,['John Williams'],0.219,152147.0,2.5357833333333333,0.0283,0.0,5PUvxyQ0STurZq4TM8yl4F,0.8270000000000001,2.0,0.132,-29.83,0.0,Secrets of the Castle,48.0,2004-05-25,0.0357,57.394,0.0828,2004.0
59,0.00058,['Rise Against'],0.591,139133.0,2.3188833333333334,0.973,0.0,0WDvAKN1wzjNya2xxjh9nq,0.225,10.0,0.501,-3.512,0.0,State Of The Union,42.0,2004-01-01,0.103,132.209,0.371,2004.0
60,0.304,['Modest Mouse'],0.461,181507.0,3.025116666666667,0.675,0.0,2FgVVn5jX8lE7nSLnYKLhE,0.007109999999999998,7.0,0.132,-6.098,1.0,One Chance,42.0,2004-04-05,0.0659,186.183,0.423,2004.0
61,0.165,['Slipknot'],0.353,262987.0,4.383116666666667,0.76,0.0,6do7nVH4UOuZlKcA2ZBHbh,0.0245,4.0,0.369,-5.105,0.0,Circle,50.0,2004,0.0344,119.52,0.273,2004.0
62,0.000253,['Breaking Benjamin'],0.512,203960.0,3.3993333333333333,0.855,1.0,3llwKWXLIIqqceJhK6J4zm,0.0041,7.0,0.118,-3.799,1.0,Break My Fall,44.0,2004-01-01,0.0411,93.929,0.303,2004.0
63,0.00761,['Slipknot'],0.35200000000000004,192587.0,3.209783333333333,0.995,0.0,3wWBjqx2dJlJRVJdnPzXsr,2.6e-05,11.0,0.511,-1.6669999999999998,1.0,Opium of the People,49.0,2004,0.181,134.262,0.138,2004.0
64,0.396,['Kings of Leon'],0.563,240293.0,4.004883333333334,0.201,0.0,6DDRD4QGsEsA9YaIQzm4BO,0.000407,2.0,0.0544,-16.489,1.0,Milk,50.0,2005-02-22,0.053,124.216,0.233,2005.0
65,6.57e-05,['Disturbed'],0.499,200293.0,3.338216666666667,0.935,0.0,0f2YRp5HLHVzqIs8KfY6T1,0.0221,9.0,0.0695,-3.141,1.0,Guarded,48.0,2005-09-19,0.0631,136.911,0.378,2005.0
66,0.0337,['Eminem'],0.95,284800.0,4.746666666666667,0.6509999999999999,1.0,7Bi0aRtNAdchLnVBPjDrcx,0.0,5.0,0.0424,-4.226,0.0,The Real Slim Shady,48.0,2005-12-06,0.0547,104.495,0.777,2005.0
67,0.467,['Kanye West'],0.799,33573.0,0.55955,0.307,1.0,164al00XRSLWG6h4hc12bD,0.0,1.0,0.146,-12.543,1.0,Skit #1,46.0,2005-09-30,0.917,52.165,0.753,2005.0
68,0.091,['Death Cab for Cutie'],0.5660000000000001,219360.0,3.656,0.621,0.0,4QJ9qzD7PHDET2bwlOxXyO,9.5e-06,0.0,0.0882,-8.762,1.0,Your Heart Is an Empty Room,43.0,2005-08-29,0.0263,112.149,0.4,2005.0
69,0.322,['Death Cab for Cutie'],0.556,191373.0,3.1895499999999997,0.6629999999999999,0.0,2Wc6WJFIh86EDnlMxIKhv8,0.000773,7.0,0.129,-8.965,0.0,Someday You Will Be Loved,43.0,2005-08-29,0.0261,113.118,0.446,2005.0
70,0.00521,['Coldplay'],0.4920000000000001,328220.0,5.4703333333333335,0.7829999999999999,0.0,0WWz2AaqxLoO0fa9ou6Fqc,0.0361,8.0,0.0951,-8.997,0.0,White Shadows,53.0,2005-06-07,0.0483,127.437,0.26,2005.0
71,0.012,['50 Cent'],0.48,255173.0,4.252883333333333,0.845,1.0,2rlcCS6vJSTrRMjsmVkoFY,0.0,10.0,0.331,-4.127,0.0,Piggy Bank,51.0,2005-03-03,0.303,79.374,0.872,2005.0
72,2.94e-05,['Disturbed'],0.593,223453.0,3.7242166666666665,0.927,0.0,3WiXCGEioBloorG63T3dSF,0.132,1.0,0.118,-3.533,1.0,Just Stop,48.0,2005-09-19,0.0795,101.906,0.4320000000000001,2005.0
73,0.00674,['Coldplay'],0.447,287635.0,4.793916666666666,0.679,0.0,2zQIITgo6sc5ppOfPcH205,0.00136,0.0,0.16399999999999998,-6.884,0.0,Square One,53.0,2005-06-07,0.0319,124.226,0.0599,2005.0
74,0.0262,['Lil Wayne'],0.6759999999999999,247040.0,4.117333333333333,0.745,1.0,4ZfB37omywo04Pm1Uw0EEQ,0.0,8.0,0.0756,-8.812999999999997,1.0,Hit Em Up,44.0,2005-01-01,0.369,81.343,0.888,2005.0
75,2.61e-05,['Disturbed'],0.382,282053.0,4.7008833333333335,0.976,0.0,1gFrm3uL7UAtmjaPspYedU,0.0195,1.0,0.118,-2.5980000000000003,1.0,I'm Alive,49.0,2005-09-19,0.0696,179.918,0.574,2005.0
